DC_gain,Peak_gain,eye_height,eye_width
-10.0,2.0,0.0183,8.800000e-11
-10.0,2.5,0.0192,8.800000e-11
-10.0,3.0,0.0161,9.600000e-11
-10.0,3.5,0.0171,9.600000e-11
-10.0,4.0,0.0180,9.600000e-11
-10.0,4.5,0.0191,9.600000e-11
-10.0,5.0,0.0202,9.600000e-11
-10.0,5.5,0.0164,9.600000e-11
-10.0,6.0,0.0169,9.600000e-11
-10.0,6.5,0.0175,9.600000e-11
-10.0,7.0,0.0181,9.600000e-11
-10.0,7.5,0.0192,8.800000e-11
-10.0,8.0,0.0201,8.800000e-11
-10.0,8.5,0.0209,8.800000e-11
-10.0,9.0,0.0217,8.800000e-11
-10.0,9.5,0.0167,7.200000e-11
-10.0,10.0,0.0170,7.200000e-11
-9.5,2.0,0.0194,8.800000e-11
-9.5,2.5,0.0203,8.800000e-11
-9.5,3.0,0.0170,9.600000e-11
-9.5,3.5,0.0182,9.600000e-11
-9.5,4.0,0.0191,9.600000e-11
-9.5,4.5,0.0202,9.600000e-11
-9.5,5.0,0.0214,9.600000e-11
-9.5,5.5,0.0174,9.600000e-11
-9.5,6.0,0.0179,9.600000e-11
-9.5,6.5,0.0185,9.600000e-11
-9.5,7.0,0.0192,9.600000e-11
-9.5,7.5,0.0203,8.800000e-11
-9.5,8.0,0.0213,8.800000e-11
-9.5,8.5,0.0221,8.800000e-11
-9.5,9.0,0.0230,8.800000e-11
-9.5,9.5,0.0177,7.200000e-11
-9.5,10.0,0.0180,7.200000e-11
-9.0,2.0,0.0205,8.800000e-11
-9.0,2.5,0.0215,8.800000e-11
-9.0,3.0,0.0180,9.600000e-11
-9.0,3.5,0.0192,9.600000e-11
-9.0,4.0,0.0202,9.600000e-11
-9.0,4.5,0.0214,9.600000e-11
-9.0,5.0,0.0227,9.600000e-11
-9.0,5.5,0.0184,9.600000e-11
-9.0,6.0,0.0190,9.600000e-11
-9.0,6.5,0.0196,9.600000e-11
-9.0,7.0,0.0203,9.600000e-11
-9.0,7.5,0.0215,8.800000e-11
-9.0,8.0,0.0226,8.800000e-11
-9.0,8.5,0.0234,8.800000e-11
-9.0,9.0,0.0243,8.800000e-11
-9.0,9.5,0.0187,7.200000e-11
-9.0,10.0,0.0191,7.200000e-11
-8.5,2.0,0.0217,8.800000e-11
-8.5,2.5,0.0228,8.800000e-11
-8.5,3.0,0.0191,9.600000e-11
-8.5,3.5,0.0204,9.600000e-11
-8.5,4.0,0.0214,9.600000e-11
-8.5,4.5,0.0227,9.600000e-11
-8.5,5.0,0.0241,9.600000e-11
-8.5,5.5,0.0195,9.600000e-11
-8.5,6.0,0.0201,9.600000e-11
-8.5,6.5,0.0208,9.600000e-11
-8.5,7.0,0.0215,9.600000e-11
-8.5,7.5,0.0228,8.800000e-11
-8.5,8.0,0.0239,8.800000e-11
-8.5,8.5,0.0248,8.800000e-11
-8.5,9.0,0.0258,8.800000e-11
-8.5,9.5,0.0198,7.200000e-11
-8.5,10.0,0.0202,7.200000e-11
-8.0,2.0,0.0230,8.800000e-11
-8.0,2.5,0.0241,8.800000e-11
-8.0,3.0,0.0202,9.600000e-11
-8.0,3.5,0.0216,9.600000e-11
-8.0,4.0,0.0227,9.600000e-11
-8.0,4.5,0.0240,9.600000e-11
-8.0,5.0,0.0255,9.600000e-11
-8.0,5.5,0.0206,9.600000e-11
-8.0,6.0,0.0213,9.600000e-11
-8.0,6.5,0.0220,9.600000e-11
-8.0,7.0,0.0228,9.600000e-11
-8.0,7.5,0.0241,8.800000e-11
-8.0,8.0,0.0253,8.800000e-11
-8.0,8.5,0.0263,8.800000e-11
-8.0,9.0,0.0273,8.800000e-11
-8.0,9.5,0.0210,7.200000e-11
-8.0,10.0,0.0214,7.200000e-11
-7.5,2.0,0.0244,8.800000e-11
-7.5,2.5,0.0256,8.800000e-11
-7.5,3.0,0.0214,9.600000e-11
-7.5,3.5,0.0229,9.600000e-11
-7.5,4.0,0.0240,9.600000e-11
-7.5,4.5,0.0254,9.600000e-11
-7.5,5.0,0.0270,9.600000e-11
-7.5,5.5,0.0219,9.600000e-11
-7.5,6.0,0.0226,9.600000e-11
-7.5,6.5,0.0233,9.600000e-11
-7.5,7.0,0.0241,9.600000e-11
-7.5,7.5,0.0256,8.800000e-11
-7.5,8.0,0.0268,8.800000e-11
-7.5,8.5,0.0278,8.800000e-11
-7.5,9.0,0.0289,8.800000e-11
-7.5,9.5,0.0223,7.200000e-11
-7.5,10.0,0.0227,7.200000e-11
-7.0,2.0,0.0258,8.800000e-11
-7.0,2.5,0.0271,8.800000e-11
-7.0,3.0,0.0227,9.600000e-11
-7.0,3.5,0.0242,9.600000e-11
-7.0,4.0,0.0254,9.600000e-11
-7.0,4.5,0.0269,9.600000e-11
-7.0,5.0,0.0286,9.600000e-11
-7.0,5.5,0.0232,9.600000e-11
-7.0,6.0,0.0239,9.600000e-11
-7.0,6.5,0.0247,9.600000e-11
-7.0,7.0,0.0256,9.600000e-11
-7.0,7.5,0.0271,8.800000e-11
-7.0,8.0,0.0284,8.800000e-11
-7.0,8.5,0.0295,8.800000e-11
-7.0,9.0,0.0306,8.800000e-11
-7.0,9.5,0.0236,7.200000e-11
-7.0,10.0,0.0240,7.200000e-11
-6.5,2.0,0.0274,8.800000e-11
-6.5,2.5,0.0287,8.800000e-11
-6.5,3.0,0.0240,9.600000e-11
-6.5,3.5,0.0257,9.600000e-11
-6.5,4.0,0.0269,9.600000e-11
-6.5,4.5,0.0285,9.600000e-11
-6.5,5.0,0.0303,9.600000e-11
-6.5,5.5,0.0245,9.600000e-11
-6.5,6.0,0.0253,9.600000e-11
-6.5,6.5,0.0262,9.600000e-11
-6.5,7.0,0.0271,9.600000e-11
-6.5,7.5,0.0287,8.800000e-11
-6.5,8.0,0.0301,8.800000e-11
-6.5,8.5,0.0312,8.800000e-11
-6.5,9.0,0.0324,8.800000e-11
-6.5,9.5,0.0250,7.200000e-11
-6.5,10.0,0.0254,7.200000e-11
-6.0,2.0,0.0290,8.800000e-11
-6.0,2.5,0.0304,8.800000e-11
-6.0,3.0,0.0255,9.600000e-11
-6.0,3.5,0.0272,9.600000e-11
-6.0,4.0,0.0285,9.600000e-11
-6.0,4.5,0.0302,9.600000e-11
-6.0,5.0,0.0321,9.600000e-11
-6.0,5.5,0.0260,9.600000e-11
-6.0,6.0,0.0268,9.600000e-11
-6.0,6.5,0.0277,9.600000e-11
-6.0,7.0,0.0287,9.600000e-11
-6.0,7.5,0.0304,8.800000e-11
-6.0,8.0,0.0319,8.800000e-11
-6.0,8.5,0.0330,8.800000e-11
-6.0,9.0,0.0343,8.800000e-11
-6.0,9.5,0.0265,7.200000e-11
-6.0,10.0,0.0269,7.200000e-11
-5.5,2.0,0.0307,8.800000e-11
-5.5,2.5,0.0322,8.800000e-11
-5.5,3.0,0.0270,9.600000e-11
-5.5,3.5,0.0288,9.600000e-11
-5.5,4.0,0.0302,9.600000e-11
-5.5,4.5,0.0320,9.600000e-11
-5.5,5.0,0.0340,9.600000e-11
-5.5,5.5,0.0275,9.600000e-11
-5.5,6.0,0.0284,9.600000e-11
-5.5,6.5,0.0293,9.600000e-11
-5.5,7.0,0.0304,9.600000e-11
-5.5,7.5,0.0322,8.800000e-11
-5.5,8.0,0.0337,8.800000e-11
-5.5,8.5,0.0350,8.800000e-11
-5.5,9.0,0.0364,8.800000e-11
-5.5,9.5,0.0280,7.200000e-11
-5.5,10.0,0.0285,7.200000e-11
-5.0,2.0,0.0325,8.800000e-11
-5.0,2.5,0.0341,8.800000e-11
-5.0,3.0,0.0286,9.600000e-11
-5.0,3.5,0.0305,9.600000e-11
-5.0,4.0,0.0320,9.600000e-11
-5.0,4.5,0.0339,9.600000e-11
-5.0,5.0,0.0360,9.600000e-11
-5.0,5.5,0.0292,9.600000e-11
-5.0,6.0,0.0301,9.600000e-11
-5.0,6.5,0.0311,9.600000e-11
-5.0,7.0,0.0322,9.600000e-11
-5.0,7.5,0.0341,8.800000e-11
-5.0,8.0,0.0357,8.800000e-11
-5.0,8.5,0.0371,8.800000e-11
-5.0,9.0,0.0385,8.800000e-11
-5.0,9.5,0.0297,7.200000e-11
-5.0,10.0,0.0302,7.200000e-11
-4.5,2.0,0.0344,8.800000e-11
-4.5,2.5,0.0361,8.800000e-11
-4.5,3.0,0.0303,9.600000e-11
-4.5,3.5,0.0323,9.600000e-11
-4.5,4.0,0.0339,9.600000e-11
